Arquivo: a280.tsp
Executado em: dom 07 dez 2025 16:22:09 -03
LOCAL:  pop=350 mut=0.20 cross=0.85 heur=0.05 elit=0.01 max_iter=1700 tour=3
GLOBAL: pop=700 mut=0.15 cross=0.80 heur=0.05 elit=0.005 max_iter=5000 tour=3
GRID:   rows=2 cols=2

seed,best_fitness,global_seconds,local_seconds,best_iter
1,2969.09,141.13,12.4509,4441
2,3119.04,184.937,12.9203,3928
3,3091.02,226.756,12.5078,3761
4,3094.62,186.627,11.9181,4693
5,3119.75,225.473,13.167,4963
6,3019.41,232.313,12.7671,1364
7,3123.96,220.29,12.5232,4901
8,3122.73,202.324,12.7896,4552
9,3098.95,208.309,12.9438,4861
10,3018.86,228.32,12.799,4986
