Arquivo: eil51.tsp
Executado em: dom 07 dez 2025 16:12:57 -03
LOCAL:  pop=350 mut=0.20 cross=0.85 heur=0.05 elit=0.01 max_iter=1700 tour=3
GLOBAL: pop=700 mut=0.15 cross=0.80 heur=0.05 elit=0.005 max_iter=5000 tour=3
GRID:   rows=2 cols=2

seed,best_fitness,global_seconds,local_seconds,best_iter
1,441.052,12.6951,1.76161,423
2,450.796,12.327,1.78093,278
3,441.052,12.3138,1.77641,296
4,442.823,12.3481,1.79615,2271
5,443.346,12.2971,1.79028,1678
6,456.214,12.3598,1.77725,82
7,441.052,15.3596,1.78167,4745
8,442.823,12.3641,1.78656,4715
9,441.96,12.4011,1.81104,83
10,441.052,12.8889,1.78156,594
