Arquivo: kroA100.tsp
Executado em: dom 07 dez 2025 16:15:22 -03
LOCAL:  pop=350 mut=0.20 cross=0.85 heur=0.05 elit=0.01 max_iter=1700 tour=3
GLOBAL: pop=700 mut=0.15 cross=0.80 heur=0.05 elit=0.005 max_iter=5000 tour=3
GRID:   rows=2 cols=2

seed,best_fitness,global_seconds,local_seconds,best_iter
1,22613.8,36.8023,3.33512,4653
2,23476.9,45.8494,3.36107,1949
3,22824.4,36.5534,3.32448,129
4,22216.3,36.3951,3.36542,3883
5,22818.9,36.4591,3.34073,1117
6,22711.9,36.1307,3.32347,2658
7,22027.4,36.2108,3.30399,1306
8,23269.5,36.4459,3.31186,4100
9,22669.5,36.5201,3.32651,2495
10,23259.3,36.5031,3.3141,56
