Arquivo: rd400.tsp
Executado em: dom 07 dez 2025 16:58:33 -03
LOCAL:  pop=350 mut=0.20 cross=0.85 heur=0.05 elit=0.01 max_iter=1700 tour=3
GLOBAL: pop=700 mut=0.15 cross=0.80 heur=0.05 elit=0.005 max_iter=5000 tour=3
GRID:   rows=3 cols=3

seed,best_fitness,global_seconds,local_seconds,best_iter
1,17473.4,409.336,15.0363,4153
2,17150.5,412.067,15.1058,3078
3,17822.1,418.611,15.1152,4712
4,17965.6,418.711,15.1112,3751
5,17712.6,414.056,15.0283,2588
6,16960.3,417.843,15.123,2766
7,17314.7,416.481,15.0702,4858
8,17489.6,417.895,15.0167,4533
9,17422.3,415.427,15.0735,4805
10,17338.6,420.353,15.0678,2867
